model,MAE,RMSE,R2
persistence,0.11690618097782135,0.1835070669193234,0.9660077095031738
lstm,0.16805006563663483,0.23699299628737658,0.9433048963546753
cnn_lstm,0.17317287623882294,0.2436812236542154,0.9400597214698792
transformer,0.19329456984996796,0.2721380008532225,0.9252428412437439
