model,MAE,RMSE,R2
persistence,0.6706539988517761,0.9159470066812323,0.1614152193069458
lstm,0.34834498167037964,0.4997035429182142,0.7504077553749084
cnn_lstm,0.29842501878738403,0.46967796026657294,0.7795009613037109
transformer,0.8197911381721497,0.9899957734316375,0.020345449447631836
