model,MAE,RMSE,R2
persistence,0.6706539988517761,0.9159470066812323,0.1614152193069458
lstm,0.822079598903656,1.0045324962404714,-0.008635520935058594
cnn_lstm,0.8205080032348633,1.0017218666819556,-0.0029991865158081055
transformer,0.8205740451812744,1.0017943972256704,-0.003144502639770508
